BZRAP1	0.05	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.05	0.05	0.05	0.05	0.05	0.7	0.7	0.05	0.7	0.7	0.05	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.05	0.7	0.7	0.05	0.05	0.7	0.7
VPS4B	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
9254	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
SCYE1	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.05	0.05	0.7	0.7	0.05	0.7	0.7	0.05	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
RPS6KA5	0.05	0.05	0.05	0.05	0.7	0.05	0.7	0.7	0.05	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
EEF1E1	0.05	0.05	0.7	0.7	0.7	0.05	0.05	0.7	0.7	0.7	0.05	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.7	0.05	0.7	0.7	0.05	0.7	0.05	0.7	0.7	0.05	0.05	0.7
SCAMP1	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
57473	0.05	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.05	0.7	0.7	0.7	0.05	0.05	0.05	0.7	0.05	0.7	0.05	0.05	0.7	0.05	0.7	0.7
RFC2	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
AATF	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
SRPK3	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
22876	0.05	0.05	0.7	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.05	0.7	0.05	0.05	0.7	0.05	0.05	0.7	0.7	0.05	0.7	0.05	0.05	0.7	0.7	0.7	0.05	0.7	0.7	0.05	0.05	0.7
MLXIP	0.7	0.7	0.7	0.05	0.05	0.05	0.7	0.05	0.7	0.05	0.05	0.05	0.05	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.05
22870	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.05	0.05	0.05	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
NLGN1	0.05	0.05	0.7	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.7	0.7	0.7	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.7	0.7	0.05	0.05	0.05	0.05	0.05	0.05	0.7
SEC31A	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
DZIP1	0.05	0.05	0.05	0.05	0.7	0.7	0.7	0.7	0.05	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.7	0.05	0.05	0.7	0.7	0.05	0.05	0.7	0.05	0.7	0.7	0.7	0.05	0.05	0.05	0.05	0.05	0.7	0.7	0.05	0.7	0.05
138046	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
IGJ	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
RBPJ	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
IGKC	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
GH1	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
GH2	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
GGTL3	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
B4GALT1	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
POLD3	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.05	0.7
98	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.05	0.7	0.7	0.7
MED8	0.7	0.7	0.7	0.05	0.7	0.05	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
ACVR1	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.05	0.7	0.7	0.7	0.7	0.7
ACVR2B	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
ACVR2A	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
ACVRL1	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
PTF1A	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
ARHGAP24	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
LOC644790	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
PPARGC1B	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
29767	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.7	0.05	0.05	0.05	0.7	0.05	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.05	0.7	0.05
29761	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7	0.05	0.05	0.05	0.7	0.7	0.7	0.05	0.7	0.05	0.7	0.7	0.05	0.7	0.7	0.7	0.7	0.7
BLNK	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
PACSIN3	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
AP3S1	0.05	0.7	0.7	0.05	0.7	0.05	0.7	0.7	0.05	0.05	0.7	0.05	0.05	0.7	0.05	0.05	0.7	0.05	0.05	0.7	0.7	0.05	0.05	0.7	0.05	0.05	0.05	0.05	0.05	0.7	0.05	0.7	0.05	0.05	0.05	0.05	0.7	0.7
AP2S1	0.05	0.7	0.7	0.7	0.7	0.05	0.05	0.7	0.7	0.05	0.05	0.7	0.05	0.7	0.7	0.05	0.7	0.05	0.05	0.7	0.7	0.05	0.05	0.7	0.7	0.7	0.05	0.05	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.05	0.7	0.7
AP1S1	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
